Municipality,Demand,h0 Service Level,h0 Supply,h1 Service Level,h1 Supply,h2 Service Level,h2 Supply,h3 Service Level,h3 Supply
Aguada,18.208245858640225,0.0,0.0,1.0,18.208245858640225,0.9999999999999998,18.208245858640222,1.0,18.208245858640225
Aguadilla,47.60097204792372,0.0,0.0,1.0,47.60097204792372,1.0,47.60097204792372,1.0,47.60097204792372
Añasco,29.849643979242472,0.0,0.0,1.0,29.849643979242472,1.0,29.849643979242472,1.0,29.849643979242472
Hormigueros,8.513172827208525,0.0,0.0,0.0,0.0,1.0,8.513172827208525,1.0,8.513172827208525
Isabela,21.289861299497908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mayagüez,76.73121733346139,0.0,0.0,0.0,0.0,1.0,76.73121733346139,1.0,76.73121733346139
Moca,18.958879351701018,0.0,0.0,0.9999999999999998,18.958879351701015,1.0,18.958879351701018,0.9999999999999998,18.958879351701015
Rincón,6.704276093292917,0.0,0.0,1.0,6.704276093292917,1.0,6.704276093292917,1.0,6.704276093292917
